sexo,numero_de_parejas
Hombre,0
Hombre,0
Hombre,0
Hombre,0
Hombre,0
Hombre,0
Mujer,0
Mujer,0
Mujer,0
Mujer,0
Mujer,0
Mujer,0
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Hombre,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Mujer,2
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Hombre,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Mujer,3
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Hombre,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Mujer,4
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Hombre,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Mujer,5
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Hombre,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Mujer,6
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Hombre,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Mujer,7
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Hombre,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Mujer,8
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Hombre,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Mujer,9
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Hombre,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Mujer,10
Hombre,11
Hombre,11
Hombre,11
Hombre,11
Hombre,11
Hombre,11
Hombre,11
Hombre,11
Hombre,11
Mujer,11
Mujer,11
Mujer,11
Mujer,11
Mujer,11
Mujer,11
Mujer,11
Mujer,11
Mujer,11
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Hombre,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Mujer,12
Hombre,13
Hombre,13
Hombre,13
Hombre,13
Hombre,13
Mujer,13
Mujer,13
Mujer,13
Mujer,13
Mujer,13
Hombre,14
Hombre,14
Hombre,14
Hombre,14
Hombre,14
Hombre,14
Mujer,14
Mujer,14
Mujer,14
Mujer,14
Mujer,14
Mujer,14
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Hombre,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Mujer,15
Hombre,16
Hombre,16
Hombre,16
Hombre,16
Hombre,16
Hombre,16
Hombre,16
Hombre,16
Hombre,16
Mujer,16
Mujer,16
Mujer,16
Mujer,16
Mujer,16
Mujer,16
Mujer,16
Mujer,16
Mujer,16
Hombre,17
Hombre,17
Hombre,17
Hombre,17
Hombre,17
Hombre,17
Hombre,17
Mujer,17
Mujer,17
Mujer,17
Mujer,17
Mujer,17
Mujer,17
Mujer,17
Hombre,18
Hombre,18
Hombre,18
Hombre,18
Hombre,18
Hombre,18
Hombre,18
Hombre,18
Hombre,18
Mujer,18
Mujer,18
Mujer,18
Mujer,18
Mujer,18
Mujer,18
Mujer,18
Mujer,18
Mujer,18
Hombre,19
Hombre,19
Mujer,19
Mujer,19
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Hombre,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Mujer,20
Hombre,21
Hombre,21
Hombre,21
Hombre,21
Hombre,21
Hombre,21
Mujer,21
Mujer,21
Mujer,21
Mujer,21
Mujer,21
Mujer,21
Hombre,22
Hombre,22
Mujer,22
Mujer,22
Hombre,23
Hombre,23
Hombre,23
Hombre,23
Hombre,23
Hombre,23
Mujer,23
Mujer,23
Mujer,23
Mujer,23
Mujer,23
Mujer,23
Hombre,24
Hombre,24
Hombre,24
Mujer,24
Mujer,24
Mujer,24
Hombre,25
Hombre,25
Hombre,25
Hombre,25
Hombre,25
Hombre,25
Hombre,25
Hombre,25
Hombre,25
Mujer,25
Mujer,25
Mujer,25
Mujer,25
Mujer,25
Mujer,25
Mujer,25
Mujer,25
Mujer,25
Hombre,26
Hombre,26
Hombre,26
Hombre,26
Mujer,26
Mujer,26
Mujer,26
Mujer,26
Hombre,27
Hombre,27
Hombre,28
Hombre,28
Hombre,28
Hombre,28
Hombre,28
Hombre,28
Mujer,28
Mujer,28
Mujer,28
Mujer,28
Mujer,28
Mujer,28
Hombre,29
Hombre,29
Mujer,29
Mujer,29
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Hombre,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Mujer,30
Hombre,31
Mujer,31
Hombre,32
Hombre,32
Mujer,32
Mujer,32
Hombre,34
Hombre,34
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Hombre,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,35
Mujer,36
Mujer,36
Hombre,38
Hombre,38
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Hombre,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,40
Mujer,41
Mujer,41
Hombre,42
Hombre,42
Hombre,45
Hombre,45
Hombre,45
Hombre,45
Hombre,47
Hombre,50
Hombre,50
Hombre,50
Hombre,50
Hombre,50
Hombre,50
Hombre,50
Hombre,50
Hombre,50
Hombre,50
Mujer,50
Mujer,50
Mujer,50
Mujer,50
Mujer,50
Mujer,50
Mujer,50
Mujer,50
Mujer,50
Mujer,50
Hombre,52
Hombre,52
Mujer,52
Mujer,52
Hombre,55
Hombre,55
Hombre,55
Hombre,60
Hombre,60
Mujer,60
Mujer,60
Mujer,62
Mujer,62
Mujer,63
Mujer,63
Hombre,65
Hombre,70
Hombre,70
Hombre,70
Hombre,70
Mujer,70
Mujer,70
Mujer,70
Mujer,70
Hombre,80
Hombre,80
Hombre,98
Hombre,100
Hombre,100
Hombre,100
Hombre,100
Hombre,100
Hombre,100
Hombre,100
Hombre,100
Hombre,100
Hombre,100
Hombre,115
Hombre,130
Hombre,145
Hombre,150
Hombre,150
Hombre,153
Hombre,250
Hombre,400
Hombre,403
Hombre,500
Hombre,501
Mujer,550
Mujer,550
