comunidades_y_ciudades_autonomas,divisiones_coicop,anno,total
Canarias,Transporte,2019,5522467
Canarias,Transporte,2018,5487154
Canarias,Transporte,2017,5280537
Canarias,Transporte,2016,4769676
Canarias,Transporte,2015,4379101
Canarias,Transporte,2014,4431146
Canarias,Comunicaciones,2020,907937
Canarias,Comunicaciones,2019,1005583
Canarias,Comunicaciones,2018,995151
Canarias,Comunicaciones,2017,955101
Canarias,Comunicaciones,2016,887762
Canarias,Comunicaciones,2015,816657
Canarias,Comunicaciones,2014,818148
Canarias,"Ocio, espectáculos y cultura",2020,1463198
Canarias,"Ocio, espectáculos y cultura",2019,2724048
Canarias,"Ocio, espectáculos y cultura",2018,2787609
Canarias,"Ocio, espectáculos y cultura",2017,2817163
Canarias,"Ocio, espectáculos y cultura",2016,2680656
Canarias,"Ocio, espectáculos y cultura",2015,2475422
Canarias,"Ocio, espectáculos y cultura",2014,2397866
Canarias,Educación,2020,357881
Canarias,Educación,2019,379125
Canarias,Educación,2018,376600
Canarias,Educación,2017,374127
Canarias,Educación,2016,368996
Canarias,Educación,2015,357500
Canarias,Educación,2014,364080
Canarias,"Hoteles, cafés y restaurantes",2020,3454091
Canarias,"Hoteles, cafés y restaurantes",2019,8696859
Canarias,"Hoteles, cafés y restaurantes",2018,8477813
Canarias,"Hoteles, cafés y restaurantes",2017,8494366
Canarias,"Hoteles, cafés y restaurantes",2016,7729045
Canarias,"Hoteles, cafés y restaurantes",2015,6974705
Canarias,"Hoteles, cafés y restaurantes",2014,6684795
Canarias,Otros bienes y servicios,2020,2268695
Canarias,Otros bienes y servicios,2019,2753596
Canarias,Otros bienes y servicios,2018,2725350
Canarias,Otros bienes y servicios,2017,2609123
Canarias,Otros bienes y servicios,2016,2477193
Canarias,Otros bienes y servicios,2015,2270008
Canarias,Otros bienes y servicios,2014,2265602
Canarias,Total gasto en consumo final de los hogares interior,2020,26437910
Canarias,Total gasto en consumo final de los hogares interior,2019,37197895
Canarias,Total gasto en consumo final de los hogares interior,2018,36722251
Canarias,Total gasto en consumo final de los hogares interior,2017,35990588
Canarias,Total gasto en consumo final de los hogares interior,2016,33741597
Canarias,Total gasto en consumo final de los hogares interior,2015,31608122
Canarias,Total gasto en consumo final de los hogares interior,2014,31230990
Canarias,P.Gasto en consumo final de los hogares,2020,23471535
Canarias,P.Gasto en consumo final de los hogares,2019,26205749
Canarias,P.Gasto en consumo final de los hogares,2018,25668731
Canarias,P.Gasto en consumo final de los hogares,2017,24890699
Canarias,P.Gasto en consumo final de los hogares,2016,23552389
Canarias,P.Gasto en consumo final de los hogares,2015,23004394
Canarias,P.Gasto en consumo final de los hogares,2014,22081004
Canarias,P.Consumo final efectivo de los hogares,2020,31302848
Canarias,P.Consumo final efectivo de los hogares,2019,33915324
Canarias,P.Consumo final efectivo de los hogares,2018,32705902
Canarias,P.Consumo final efectivo de los hogares,2017,31449213
Canarias,P.Consumo final efectivo de los hogares,2016,29771605
Canarias,P.Consumo final efectivo de los hogares,2015,29034107
Canarias,P.Consumo final efectivo de los hogares,2014,27929801
Cantabria,Alimentos y bebidas no alcohólicas,2020,1284556
Cantabria,Alimentos y bebidas no alcohólicas,2019,1188003
Cantabria,Alimentos y bebidas no alcohólicas,2018,1187214
Cantabria,Alimentos y bebidas no alcohólicas,2017,1139414
Cantabria,Alimentos y bebidas no alcohólicas,2016,1113834
Cantabria,Alimentos y bebidas no alcohólicas,2015,1141027
Cantabria,Alimentos y bebidas no alcohólicas,2014,1072294
Cantabria,"Bebidas alcohólicas, tabaco y narcóticos",2020,354772
Cantabria,"Bebidas alcohólicas, tabaco y narcóticos",2019,334098
Cantabria,"Bebidas alcohólicas, tabaco y narcóticos",2018,336691
Cantabria,"Bebidas alcohólicas, tabaco y narcóticos",2017,332418
Cantabria,"Bebidas alcohólicas, tabaco y narcóticos",2016,337595
Cantabria,"Bebidas alcohólicas, tabaco y narcóticos",2015,322495
Cantabria,"Bebidas alcohólicas, tabaco y narcóticos",2014,316457
Cantabria,Artículos de vestir y calzado,2020,275578
Cantabria,Artículos de vestir y calzado,2019,397581
Cantabria,Artículos de vestir y calzado,2018,406384
Cantabria,Artículos de vestir y calzado,2017,413217
Cantabria,Artículos de vestir y calzado,2016,421216
Cantabria,Artículos de vestir y calzado,2015,403073
Cantabria,Artículos de vestir y calzado,2014,387413
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,2196671
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2019,2252510
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2018,2206401
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2017,2161916
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2016,2115282
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2015,2110661
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2014,2118424
Cantabria,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,364963
Cantabria,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,413511
Cantabria,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,423330
Cantabria,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,432490
Cantabria,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,419616
Cantabria,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,397219
Cantabria,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,371753
Cantabria,Salud,2020,363978
Cantabria,Salud,2019,372564
Cantabria,Salud,2018,358015
Cantabria,Salud,2017,348674
Cantabria,Salud,2016,371436
Cantabria,Salud,2015,314470
Cantabria,Salud,2014,313669
Cantabria,Transporte,2020,870564
Cantabria,Transporte,2019,1143030
Cantabria,Transporte,2018,1155941
Cantabria,Transporte,2017,1118248
Cantabria,Transporte,2016,1036334
Cantabria,Transporte,2015,1091243
Cantabria,Transporte,2014,1061206
Cantabria,Comunicaciones,2020,217998
Cantabria,Comunicaciones,2019,227266
Cantabria,Comunicaciones,2018,234409
Cantabria,Comunicaciones,2017,226870
Cantabria,Comunicaciones,2016,214500
Cantabria,Comunicaciones,2015,192561
Cantabria,Comunicaciones,2014,192444
Cantabria,"Ocio, espectáculos y cultura",2020,402233
Cantabria,"Ocio, espectáculos y cultura",2019,609783
Cantabria,"Ocio, espectáculos y cultura",2018,613866
Cantabria,"Ocio, espectáculos y cultura",2017,599839
Cantabria,"Ocio, espectáculos y cultura",2016,582111
Cantabria,"Ocio, espectáculos y cultura",2015,573793
Cantabria,"Ocio, espectáculos y cultura",2014,536890
Cantabria,Educación,2020,113322
Cantabria,Educación,2019,117604
Cantabria,Educación,2018,116030
Cantabria,Educación,2017,114563
Cantabria,Educación,2016,112030
Cantabria,Educación,2015,107830
Cantabria,Educación,2014,108775
Cantabria,"Hoteles, cafés y restaurantes",2020,832522
Cantabria,"Hoteles, cafés y restaurantes",2019,1599794
Cantabria,"Hoteles, cafés y restaurantes",2018,1560542
Cantabria,"Hoteles, cafés y restaurantes",2017,1548235
Cantabria,"Hoteles, cafés y restaurantes",2016,1387421
Cantabria,"Hoteles, cafés y restaurantes",2015,1285249
Cantabria,"Hoteles, cafés y restaurantes",2014,1226565
Cantabria,Otros bienes y servicios,2020,773666
Cantabria,Otros bienes y servicios,2019,891345
Cantabria,Otros bienes y servicios,2018,912333
Cantabria,Otros bienes y servicios,2017,906342
Cantabria,Otros bienes y servicios,2016,870065
Cantabria,Otros bienes y servicios,2015,787932
Cantabria,Otros bienes y servicios,2014,741978
Cantabria,Total gasto en consumo final de los hogares interior,2020,8050823
Cantabria,Total gasto en consumo final de los hogares interior,2019,9547089
Cantabria,Total gasto en consumo final de los hogares interior,2018,9511156
Cantabria,Total gasto en consumo final de los hogares interior,2017,9342226
Cantabria,Total gasto en consumo final de los hogares interior,2016,8981440
Cantabria,Total gasto en consumo final de los hogares interior,2015,8727553
Cantabria,Total gasto en consumo final de los hogares interior,2014,8447868
Cantabria,P.Gasto en consumo final de los hogares,2020,7433177
Cantabria,P.Gasto en consumo final de los hogares,2019,8624878
Cantabria,P.Gasto en consumo final de los hogares,2018,8485698
Cantabria,P.Gasto en consumo final de los hogares,2017,8218657
Cantabria,P.Gasto en consumo final de los hogares,2016,7991136
Cantabria,P.Gasto en consumo final de los hogares,2015,8016205
Cantabria,P.Gasto en consumo final de los hogares,2014,7807909
Cantabria,P.Consumo final efectivo de los hogares,2020,9598651
Cantabria,P.Consumo final efectivo de los hogares,2019,10697493
Cantabria,P.Consumo final efectivo de los hogares,2018,10430506
Cantabria,P.Consumo final efectivo de los hogares,2017,10073740
Cantabria,P.Consumo final efectivo de los hogares,2016,9821984
Cantabria,P.Consumo final efectivo de los hogares,2015,9827154
Cantabria,P.Consumo final efectivo de los hogares,2014,9546623
Castilla y León,Alimentos y bebidas no alcohólicas,2020,5265410
Castilla y León,Alimentos y bebidas no alcohólicas,2019,4948242
Castilla y León,Alimentos y bebidas no alcohólicas,2018,4969865
Castilla y León,Alimentos y bebidas no alcohólicas,2017,4852523
Castilla y León,Alimentos y bebidas no alcohólicas,2016,4840476
Castilla y León,Alimentos y bebidas no alcohólicas,2015,5004860
Castilla y León,Alimentos y bebidas no alcohólicas,2014,4807822
Castilla y León,"Bebidas alcohólicas, tabaco y narcóticos",2020,1558062
Castilla y León,"Bebidas alcohólicas, tabaco y narcóticos",2019,1447029
Castilla y León,"Bebidas alcohólicas, tabaco y narcóticos",2018,1446272
Castilla y León,"Bebidas alcohólicas, tabaco y narcóticos",2017,1432401
Castilla y León,"Bebidas alcohólicas, tabaco y narcóticos",2016,1460448
Castilla y León,"Bebidas alcohólicas, tabaco y narcóticos",2015,1393621
Castilla y León,"Bebidas alcohólicas, tabaco y narcóticos",2014,1404116
Castilla y León,Artículos de vestir y calzado,2020,1016875
Castilla y León,Artículos de vestir y calzado,2019,1372285
Castilla y León,Artículos de vestir y calzado,2018,1391790
Castilla y León,Artículos de vestir y calzado,2017,1463590
Castilla y León,Artículos de vestir y calzado,2016,1473239
Castilla y León,Artículos de vestir y calzado,2015,1406182
Castilla y León,Artículos de vestir y calzado,2014,1358669
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,8248767
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2019,8484183
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2018,8368732
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2017,8250055
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2016,8095750
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2015,8102971
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2014,8215201
Castilla y León,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,1279943
Castilla y León,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,1414365
Castilla y León,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,1483715
Castilla y León,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,1486736
Castilla y León,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,1435803
Castilla y León,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,1418752
Castilla y León,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,1292023
Castilla y León,Salud,2020,1501708
Castilla y León,Salud,2019,1560111
Castilla y León,Salud,2018,1425933
Castilla y León,Salud,2017,1363425
Castilla y León,Salud,2016,1381573
Castilla y León,Salud,2015,1360650
Castilla y León,Salud,2014,1308145
Castilla y León,Transporte,2020,3261050
Castilla y León,Transporte,2019,4197942
Castilla y León,Transporte,2018,4195974
Castilla y León,Transporte,2017,4041249
Castilla y León,Transporte,2016,3668236
Castilla y León,Transporte,2015,3909742
Castilla y León,Transporte,2014,3740974
Castilla y León,Comunicaciones,2020,887290
Castilla y León,Comunicaciones,2019,911595
Castilla y León,Comunicaciones,2018,926656
Castilla y León,Comunicaciones,2017,896587
Castilla y León,Comunicaciones,2016,862387
Castilla y León,Comunicaciones,2015,823961
Castilla y León,Comunicaciones,2014,808662
Castilla y León,"Ocio, espectáculos y cultura",2020,1814615
Castilla y León,"Ocio, espectáculos y cultura",2019,2627091
Castilla y León,"Ocio, espectáculos y cultura",2018,2555529
Castilla y León,"Ocio, espectáculos y cultura",2017,2461374
Castilla y León,"Ocio, espectáculos y cultura",2016,2306827
Castilla y León,"Ocio, espectáculos y cultura",2015,2314330
Castilla y León,"Ocio, espectáculos y cultura",2014,2175879
Castilla y León,Educación,2020,518309
Castilla y León,Educación,2019,545785
Castilla y León,Educación,2018,547592
Castilla y León,Educación,2017,547795
Castilla y León,Educación,2016,543604
Castilla y León,Educación,2015,540844
Castilla y León,Educación,2014,558955
Castilla y León,"Hoteles, cafés y restaurantes",2020,3126990
Castilla y León,"Hoteles, cafés y restaurantes",2019,5400888
Castilla y León,"Hoteles, cafés y restaurantes",2018,5121051
Castilla y León,"Hoteles, cafés y restaurantes",2017,5047611
Castilla y León,"Hoteles, cafés y restaurantes",2016,4665156
Castilla y León,"Hoteles, cafés y restaurantes",2015,4478816
Castilla y León,"Hoteles, cafés y restaurantes",2014,4065671
Castilla y León,Otros bienes y servicios,2020,3316887
Castilla y León,Otros bienes y servicios,2019,3532211
Castilla y León,Otros bienes y servicios,2018,3513775
Castilla y León,Otros bienes y servicios,2017,3409028
Castilla y León,Otros bienes y servicios,2016,3322537
Castilla y León,Otros bienes y servicios,2015,3183007
Castilla y León,Otros bienes y servicios,2014,3131648
Castilla y León,Total gasto en consumo final de los hogares interior,2020,31795906
Castilla y León,Total gasto en consumo final de los hogares interior,2019,36441727
Castilla y León,Total gasto en consumo final de los hogares interior,2018,35946884
Castilla y León,Total gasto en consumo final de los hogares interior,2017,35252374
Castilla y León,Total gasto en consumo final de los hogares interior,2016,34056036
Castilla y León,Total gasto en consumo final de los hogares interior,2015,33937736
Castilla y León,Total gasto en consumo final de los hogares interior,2014,32867765
Castilla y León,P.Gasto en consumo final de los hogares,2020,29909182
Castilla y León,P.Gasto en consumo final de los hogares,2019,33962838
Castilla y León,P.Gasto en consumo final de los hogares,2018,33581405
Castilla y León,P.Gasto en consumo final de los hogares,2017,32959768
Castilla y León,P.Gasto en consumo final de los hogares,2016,31899283
Castilla y León,P.Gasto en consumo final de los hogares,2015,31996915
Castilla y León,P.Gasto en consumo final de los hogares,2014,30348114
Castilla y León,P.Consumo final efectivo de los hogares,2020,38669923
Castilla y León,P.Consumo final efectivo de los hogares,2019,42405339
Castilla y León,P.Consumo final efectivo de los hogares,2018,41522925
Castilla y León,P.Consumo final efectivo de los hogares,2017,40840278
Castilla y León,P.Consumo final efectivo de los hogares,2016,39502283
Castilla y León,P.Consumo final efectivo de los hogares,2015,39480637
Castilla y León,P.Consumo final efectivo de los hogares,2014,37475442
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2020,3764726
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2019,3454910
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2018,3426190
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2017,3299446
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2016,3329348
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2015,3383231
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2014,3349269
Castilla - La Mancha,"Bebidas alcohólicas, tabaco y narcóticos",2020,1088596
Castilla - La Mancha,"Bebidas alcohólicas, tabaco y narcóticos",2019,1055060
Castilla - La Mancha,"Bebidas alcohólicas, tabaco y narcóticos",2018,1064747
Castilla - La Mancha,"Bebidas alcohólicas, tabaco y narcóticos",2017,1074731
Castilla - La Mancha,"Bebidas alcohólicas, tabaco y narcóticos",2016,1079012
Castilla - La Mancha,"Bebidas alcohólicas, tabaco y narcóticos",2015,1036782
Castilla - La Mancha,"Bebidas alcohólicas, tabaco y narcóticos",2014,1044577
Castilla - La Mancha,Artículos de vestir y calzado,2020,715325
Castilla - La Mancha,Artículos de vestir y calzado,2019,997578
Castilla - La Mancha,Artículos de vestir y calzado,2018,1009181
Castilla - La Mancha,Artículos de vestir y calzado,2017,1062856
Castilla - La Mancha,Artículos de vestir y calzado,2016,1065271
Castilla - La Mancha,Artículos de vestir y calzado,2015,1059662
Castilla - La Mancha,Artículos de vestir y calzado,2014,1042775
Castilla - La Mancha,"Vivienda, agua, electricidad, gas y otros combustibles",2020,5752608
Castilla - La Mancha,"Vivienda, agua, electricidad, gas y otros combustibles",2019,5889596
Castilla - La Mancha,"Vivienda, agua, electricidad, gas y otros combustibles",2018,5801230
Castilla - La Mancha,"Vivienda, agua, electricidad, gas y otros combustibles",2017,5702556
Castilla - La Mancha,"Vivienda, agua, electricidad, gas y otros combustibles",2016,5576095
Castilla - La Mancha,"Vivienda, agua, electricidad, gas y otros combustibles",2015,5697026
Castilla - La Mancha,"Vivienda, agua, electricidad, gas y otros combustibles",2014,5772884
Castilla - La Mancha,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,998511
Castilla - La Mancha,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,1092212
Castilla - La Mancha,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,1128237
Castilla - La Mancha,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,1141535
Castilla - La Mancha,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,1085580
Castilla - La Mancha,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,1060435
Castilla - La Mancha,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,1011861
Castilla - La Mancha,Salud,2020,1104219
Castilla - La Mancha,Salud,2019,1119246
Castilla - La Mancha,Salud,2018,1069067
Castilla - La Mancha,Salud,2017,1048200
Castilla - La Mancha,Salud,2016,1048617
Castilla - La Mancha,Salud,2015,1079396
Castilla - La Mancha,Salud,2014,1035242
Castilla - La Mancha,Transporte,2020,2872610
Castilla - La Mancha,Transporte,2019,3885667
Castilla - La Mancha,Transporte,2018,4040543
Castilla - La Mancha,Transporte,2017,3838031
Castilla - La Mancha,Transporte,2016,3406556
Castilla - La Mancha,Transporte,2015,3295110
Castilla - La Mancha,Transporte,2014,3159945
Castilla - La Mancha,Comunicaciones,2020,679012
Castilla - La Mancha,Comunicaciones,2019,696243
Castilla - La Mancha,Comunicaciones,2018,711317
Castilla - La Mancha,Comunicaciones,2017,691423
Castilla - La Mancha,Comunicaciones,2016,654631
Castilla - La Mancha,Comunicaciones,2015,626582
Castilla - La Mancha,Comunicaciones,2014,612190
Castilla - La Mancha,"Ocio, espectáculos y cultura",2020,1166456
Castilla - La Mancha,"Ocio, espectáculos y cultura",2019,1717822
Castilla - La Mancha,"Ocio, espectáculos y cultura",2018,1674608
Castilla - La Mancha,"Ocio, espectáculos y cultura",2017,1581042
Castilla - La Mancha,"Ocio, espectáculos y cultura",2016,1517335
Castilla - La Mancha,"Ocio, espectáculos y cultura",2015,1482364
Castilla - La Mancha,"Ocio, espectáculos y cultura",2014,1398327
Castilla - La Mancha,Educación,2020,305648
Castilla - La Mancha,Educación,2019,320911
Castilla - La Mancha,Educación,2018,317692
Castilla - La Mancha,Educación,2017,316342
Castilla - La Mancha,Educación,2016,313127
Castilla - La Mancha,Educación,2015,303809
Castilla - La Mancha,Educación,2014,311512
Castilla - La Mancha,"Hoteles, cafés y restaurantes",2020,2010783
Castilla - La Mancha,"Hoteles, cafés y restaurantes",2019,3305215
Castilla - La Mancha,"Hoteles, cafés y restaurantes",2018,3107277
Castilla - La Mancha,"Hoteles, cafés y restaurantes",2017,3116890
Castilla - La Mancha,"Hoteles, cafés y restaurantes",2016,2917526
Castilla - La Mancha,"Hoteles, cafés y restaurantes",2015,2638170
Castilla - La Mancha,"Hoteles, cafés y restaurantes",2014,2558706
Castilla - La Mancha,Otros bienes y servicios,2020,2214442
Castilla - La Mancha,Otros bienes y servicios,2019,2443228
Castilla - La Mancha,Otros bienes y servicios,2018,2411480
Castilla - La Mancha,Otros bienes y servicios,2017,2307823
Castilla - La Mancha,Otros bienes y servicios,2016,2282473
Castilla - La Mancha,Otros bienes y servicios,2015,2230258
Castilla - La Mancha,Otros bienes y servicios,2014,2160885
Castilla - La Mancha,Total gasto en consumo final de los hogares interior,2020,22672936
Castilla - La Mancha,Total gasto en consumo final de los hogares interior,2019,25977688
Castilla - La Mancha,Total gasto en consumo final de los hogares interior,2018,25761569
Castilla - La Mancha,Total gasto en consumo final de los hogares interior,2017,25180875
Castilla - La Mancha,Total gasto en consumo final de los hogares interior,2016,24275571
Castilla - La Mancha,Total gasto en consumo final de los hogares interior,2015,23892825
Castilla - La Mancha,Total gasto en consumo final de los hogares interior,2014,23458173
Castilla - La Mancha,P.Gasto en consumo final de los hogares,2020,21795400
Castilla - La Mancha,P.Gasto en consumo final de los hogares,2019,25293187
Castilla - La Mancha,P.Gasto en consumo final de los hogares,2018,25000062
Castilla - La Mancha,P.Gasto en consumo final de los hogares,2017,24345156
Castilla - La Mancha,P.Gasto en consumo final de los hogares,2016,23659109
Castilla - La Mancha,P.Gasto en consumo final de los hogares,2015,23161121
Castilla - La Mancha,P.Gasto en consumo final de los hogares,2014,21999610
Castilla - La Mancha,P.Consumo final efectivo de los hogares,2020,28959507
Castilla - La Mancha,P.Consumo final efectivo de los hogares,2019,32074112
Castilla - La Mancha,P.Consumo final efectivo de los hogares,2018,31407014
Castilla - La Mancha,P.Consumo final efectivo de los hogares,2017,30510551
Castilla - La Mancha,P.Consumo final efectivo de los hogares,2016,29673135
Castilla - La Mancha,P.Consumo final efectivo de los hogares,2015,29077316
Castilla - La Mancha,P.Consumo final efectivo de los hogares,2014,27611098
Cataluña,Alimentos y bebidas no alcohólicas,2020,17188237
Cataluña,Alimentos y bebidas no alcohólicas,2019,16125215
Cataluña,Alimentos y bebidas no alcohólicas,2018,15841741
Cataluña,Alimentos y bebidas no alcohólicas,2017,15158608
Cataluña,Alimentos y bebidas no alcohólicas,2016,14931163
Cataluña,Alimentos y bebidas no alcohólicas,2015,14566058
Cataluña,Alimentos y bebidas no alcohólicas,2014,14226204
Cataluña,"Bebidas alcohólicas, tabaco y narcóticos",2020,5040810
Cataluña,"Bebidas alcohólicas, tabaco y narcóticos",2019,4965794
Cataluña,"Bebidas alcohólicas, tabaco y narcóticos",2018,4893991
Cataluña,"Bebidas alcohólicas, tabaco y narcóticos",2017,4878396
Cataluña,"Bebidas alcohólicas, tabaco y narcóticos",2016,4875359
Cataluña,"Bebidas alcohólicas, tabaco y narcóticos",2015,4773093
Cataluña,"Bebidas alcohólicas, tabaco y narcóticos",2014,4732800
Cataluña,Artículos de vestir y calzado,2020,3315629
Cataluña,Artículos de vestir y calzado,2019,4983581
Cataluña,Artículos de vestir y calzado,2018,5053264
Cataluña,Artículos de vestir y calzado,2017,5278914
Cataluña,Artículos de vestir y calzado,2016,5212325
Cataluña,Artículos de vestir y calzado,2015,5216887
Cataluña,Artículos de vestir y calzado,2014,5025681
Cataluña,"Vivienda, agua, electricidad, gas y otros combustibles",2020,29893510
Cataluña,"Vivienda, agua, electricidad, gas y otros combustibles",2019,30325944
Cataluña,"Vivienda, agua, electricidad, gas y otros combustibles",2018,29618575
Cataluña,"Vivienda, agua, electricidad, gas y otros combustibles",2017,28721309
Cataluña,"Vivienda, agua, electricidad, gas y otros combustibles",2016,27866036
Cataluña,"Vivienda, agua, electricidad, gas y otros combustibles",2015,27691190
Cataluña,"Vivienda, agua, electricidad, gas y otros combustibles",2014,27694733
Cataluña,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,4711268
Cataluña,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,5396764
Cataluña,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,5537704
Cataluña,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,5533914
Cataluña,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,5352050
Cataluña,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,5079765
Cataluña,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,4727270
Cataluña,Salud,2020,4759961
Cataluña,Salud,2019,5053646
Cataluña,Salud,2018,4899933
Cataluña,Salud,2017,4613712
Cataluña,Salud,2016,4087887
Cataluña,Salud,2015,4296209
Cataluña,Salud,2014,4282440
Cataluña,Transporte,2020,9996518
Cataluña,Transporte,2019,14570074
Cataluña,Transporte,2018,14951419
Cataluña,Transporte,2017,14476822
Cataluña,Transporte,2016,13164573
Cataluña,Transporte,2015,13809757
Cataluña,Transporte,2014,12916144
Cataluña,Comunicaciones,2020,3151183
Cataluña,Comunicaciones,2019,3289629
Cataluña,Comunicaciones,2018,3300307
Cataluña,Comunicaciones,2017,3130992
Cataluña,Comunicaciones,2016,2949959
Cataluña,Comunicaciones,2015,2756195
Cataluña,Comunicaciones,2014,2768767
Cataluña,"Ocio, espectáculos y cultura",2020,6087713
Cataluña,"Ocio, espectáculos y cultura",2019,10061198
Cataluña,"Ocio, espectáculos y cultura",2018,10044647
Cataluña,"Ocio, espectáculos y cultura",2017,10224723
Cataluña,"Ocio, espectáculos y cultura",2016,9731929
Cataluña,"Ocio, espectáculos y cultura",2015,9417465
Cataluña,"Ocio, espectáculos y cultura",2014,8799774
Cataluña,Educación,2020,2169867
Cataluña,Educación,2019,2231633
Cataluña,Educación,2018,2189951
Cataluña,Educación,2017,2139083
Cataluña,Educación,2016,2077774
Cataluña,Educación,2015,2018156
Cataluña,Educación,2014,2036445
Cataluña,"Hoteles, cafés y restaurantes",2020,9441307
Cataluña,"Hoteles, cafés y restaurantes",2019,18421072
Cataluña,"Hoteles, cafés y restaurantes",2018,17955579
Cataluña,"Hoteles, cafés y restaurantes",2017,17726172
Cataluña,"Hoteles, cafés y restaurantes",2016,16025171
Cataluña,"Hoteles, cafés y restaurantes",2015,15579688
Cataluña,"Hoteles, cafés y restaurantes",2014,14348254
Cataluña,Otros bienes y servicios,2020,13226037
Cataluña,Otros bienes y servicios,2019,13788320
Cataluña,Otros bienes y servicios,2018,13444788
Cataluña,Otros bienes y servicios,2017,12688551
Cataluña,Otros bienes y servicios,2016,12110840
Cataluña,Otros bienes y servicios,2015,11329797
Cataluña,Otros bienes y servicios,2014,11195457
Cataluña,Total gasto en consumo final de los hogares interior,2020,108982040
Cataluña,Total gasto en consumo final de los hogares interior,2019,129212870
Cataluña,Total gasto en consumo final de los hogares interior,2018,127731899
Cataluña,Total gasto en consumo final de los hogares interior,2017,124571196
Cataluña,Total gasto en consumo final de los hogares interior,2016,118385066
Cataluña,Total gasto en consumo final de los hogares interior,2015,116534260
Cataluña,Total gasto en consumo final de los hogares interior,2014,112753969
Cataluña,P.Gasto en consumo final de los hogares,2020,109181952
Cataluña,P.Gasto en consumo final de los hogares,2019,124772697
Cataluña,P.Gasto en consumo final de los hogares,2018,123365929
Cataluña,P.Gasto en consumo final de los hogares,2017,119931280
Cataluña,P.Gasto en consumo final de los hogares,2016,114200838
Cataluña,P.Gasto en consumo final de los hogares,2015,111590565
Cataluña,P.Gasto en consumo final de los hogares,2014,108186999
Cataluña,P.Consumo final efectivo de los hogares,2020,135551917
Cataluña,P.Consumo final efectivo de los hogares,2019,148701476
Cataluña,P.Consumo final efectivo de los hogares,2018,145902574
Cataluña,P.Consumo final efectivo de los hogares,2017,141569240
