comunidades_y_ciudades_autonomas,divisiones_coicop,anno,total
Andalucía,P.Gasto en consumo final de los hogares,2014,92336507
Andalucía,P.Consumo final efectivo de los hogares,2020,122635095
Andalucía,P.Consumo final efectivo de los hogares,2019,133504758
Andalucía,P.Consumo final efectivo de los hogares,2018,130498202
Andalucía,P.Consumo final efectivo de los hogares,2017,126014482
Andalucía,P.Consumo final efectivo de los hogares,2016,120593145
Andalucía,P.Consumo final efectivo de los hogares,2015,115198914
Andalucía,P.Consumo final efectivo de los hogares,2014,113172020
Aragón,Alimentos y bebidas no alcohólicas,2020,2972316
Aragón,Alimentos y bebidas no alcohólicas,2019,2723075
Aragón,Alimentos y bebidas no alcohólicas,2018,2664592
Aragón,Alimentos y bebidas no alcohólicas,2017,2550212
Aragón,Alimentos y bebidas no alcohólicas,2016,2546651
Aragón,Alimentos y bebidas no alcohólicas,2015,2482977
Aragón,Alimentos y bebidas no alcohólicas,2014,2437613
Aragón,"Bebidas alcohólicas, tabaco y narcóticos",2020,821650
Aragón,"Bebidas alcohólicas, tabaco y narcóticos",2019,787232
Aragón,"Bebidas alcohólicas, tabaco y narcóticos",2018,766933
Aragón,"Bebidas alcohólicas, tabaco y narcóticos",2017,762526
Aragón,"Bebidas alcohólicas, tabaco y narcóticos",2016,755281
Aragón,"Bebidas alcohólicas, tabaco y narcóticos",2015,726202
Aragón,"Bebidas alcohólicas, tabaco y narcóticos",2014,723973
Aragón,Artículos de vestir y calzado,2020,551781
Aragón,Artículos de vestir y calzado,2019,744094
Aragón,Artículos de vestir y calzado,2018,753296
Aragón,Artículos de vestir y calzado,2017,794541
Aragón,Artículos de vestir y calzado,2016,810043
Aragón,Artículos de vestir y calzado,2015,749621
Aragón,Artículos de vestir y calzado,2014,736851
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2020,4712240
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2019,4796180
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2018,4718940
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2017,4621208
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2016,4547944
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2015,4569680
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2014,4624991
Aragón,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,829195
Aragón,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,885746
Aragón,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,905231
Aragón,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,899262
Aragón,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,880756
Aragón,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,828770
Aragón,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,797540
Aragón,Salud,2020,835871
Aragón,Salud,2019,870976
Aragón,Salud,2018,853338
Aragón,Salud,2017,813791
Aragón,Salud,2016,807389
Aragón,Salud,2015,813190
Aragón,Salud,2014,787775
Aragón,Transporte,2020,1586824
Aragón,Transporte,2019,2117163
Aragón,Transporte,2018,2147876
Aragón,Transporte,2017,2058548
Aragón,Transporte,2016,1919431
Aragón,Transporte,2015,1969228
Aragón,Transporte,2014,1952388
Aragón,Comunicaciones,2020,510889
Aragón,Comunicaciones,2019,521316
Aragón,Comunicaciones,2018,526743
Aragón,Comunicaciones,2017,501945
Aragón,Comunicaciones,2016,477937
Aragón,Comunicaciones,2015,454194
Aragón,Comunicaciones,2014,455878
Aragón,"Ocio, espectáculos y cultura",2020,926426
Aragón,"Ocio, espectáculos y cultura",2019,1373183
Aragón,"Ocio, espectáculos y cultura",2018,1330527
Aragón,"Ocio, espectáculos y cultura",2017,1276648
Aragón,"Ocio, espectáculos y cultura",2016,1238858
Aragón,"Ocio, espectáculos y cultura",2015,1163472
Aragón,"Ocio, espectáculos y cultura",2014,1109416
Aragón,Educación,2020,271966
Aragón,Educación,2019,281449
Aragón,Educación,2018,277428
Aragón,Educación,2017,274477
Aragón,Educación,2016,270374
Aragón,Educación,2015,262885
Aragón,Educación,2014,266809
Aragón,"Hoteles, cafés y restaurantes",2020,1698637
Aragón,"Hoteles, cafés y restaurantes",2019,2800124
Aragón,"Hoteles, cafés y restaurantes",2018,2664741
Aragón,"Hoteles, cafés y restaurantes",2017,2641806
Aragón,"Hoteles, cafés y restaurantes",2016,2555385
Aragón,"Hoteles, cafés y restaurantes",2015,2577436
Aragón,"Hoteles, cafés y restaurantes",2014,2402302
Aragón,Otros bienes y servicios,2020,2091259
Aragón,Otros bienes y servicios,2019,2211785
Aragón,Otros bienes y servicios,2018,2216515
Aragón,Otros bienes y servicios,2017,2135918
Aragón,Otros bienes y servicios,2016,2069483
Aragón,Otros bienes y servicios,2015,1951851
Aragón,Otros bienes y servicios,2014,1930919
Aragón,Total gasto en consumo final de los hogares interior,2020,17809054
Aragón,Total gasto en consumo final de los hogares interior,2019,20112323
